Date,Title,Price
2026-06-08,A Light in the Attic,50.36
2026-06-07,A Light in the Attic,51.47
2026-06-06,A Light in the Attic,52.8
2026-06-05,A Light in the Attic,52.93
2026-06-04,A Light in the Attic,51.72
2026-06-03,A Light in the Attic,51.67
2026-06-02,A Light in the Attic,50.41
2026-06-08,Tipping the Velvet,52.49
2026-06-07,Tipping the Velvet,53.09
2026-06-06,Tipping the Velvet,54.12
2026-06-05,Tipping the Velvet,53.44
2026-06-04,Tipping the Velvet,52.75
2026-06-03,Tipping the Velvet,53.73
2026-06-02,Tipping the Velvet,52.94
2026-06-08,Soumission,50.71
2026-06-07,Soumission,51.28
2026-06-06,Soumission,52.49
2026-06-05,Soumission,51.72
2026-06-04,Soumission,51.61
2026-06-03,Soumission,51.56
2026-06-02,Soumission,52.24
2026-06-08,Sharp Objects,46.33
2026-06-07,Sharp Objects,45.79
2026-06-06,Sharp Objects,46.05
2026-06-05,Sharp Objects,46.72
2026-06-04,Sharp Objects,47.71
2026-06-03,Sharp Objects,46.23
2026-06-02,Sharp Objects,46.97
2026-06-08,Sapiens: A Brief History of Humankind,54.64
2026-06-07,Sapiens: A Brief History of Humankind,55.25
2026-06-06,Sapiens: A Brief History of Humankind,56.11
2026-06-05,Sapiens: A Brief History of Humankind,55.94
2026-06-04,Sapiens: A Brief History of Humankind,56.33
2026-06-03,Sapiens: A Brief History of Humankind,55.18
2026-06-02,Sapiens: A Brief History of Humankind,54.66
2026-06-08,The Requiem Red,23.62
2026-06-07,The Requiem Red,25.1
2026-06-06,The Requiem Red,25.57
2026-06-05,The Requiem Red,26.17
2026-06-04,The Requiem Red,27.04
2026-06-03,The Requiem Red,27.72
2026-06-02,The Requiem Red,28.99
2026-06-08,The Dirty Little Secrets of Getting Your Dream Job,34.24
2026-06-07,The Dirty Little Secrets of Getting Your Dream Job,35.2
2026-06-06,The Dirty Little Secrets of Getting Your Dream Job,35.74
2026-06-05,The Dirty Little Secrets of Getting Your Dream Job,35.55
2026-06-04,The Dirty Little Secrets of Getting Your Dream Job,34.73
2026-06-03,The Dirty Little Secrets of Getting Your Dream Job,35.85
2026-06-02,The Dirty Little Secrets of Getting Your Dream Job,34.85
2026-06-08,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.15
2026-06-07,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",16.04
2026-06-06,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",16.01
2026-06-05,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.04
2026-06-04,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.0
2026-06-03,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",16.58
2026-06-02,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",16.65
2026-06-08,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,23.22
2026-06-07,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,21.73
2026-06-06,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.28
2026-06-05,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,21.4
2026-06-04,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,21.87
2026-06-03,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.32
2026-06-02,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,21.25
2026-06-08,The Black Maria,52.3
2026-06-07,The Black Maria,52.94
2026-06-06,The Black Maria,53.62
2026-06-05,The Black Maria,53.82
2026-06-04,The Black Maria,54.75
2026-06-03,The Black Maria,54.53
2026-06-02,The Black Maria,53.66
2026-06-08,"Starving Hearts (Triangular Trade Trilogy, #1)",13.08
2026-06-07,"Starving Hearts (Triangular Trade Trilogy, #1)",12.16
2026-06-06,"Starving Hearts (Triangular Trade Trilogy, #1)",12.06
2026-06-05,"Starving Hearts (Triangular Trade Trilogy, #1)",11.96
2026-06-04,"Starving Hearts (Triangular Trade Trilogy, #1)",12.64
2026-06-03,"Starving Hearts (Triangular Trade Trilogy, #1)",13.07
2026-06-02,"Starving Hearts (Triangular Trade Trilogy, #1)",12.41
2026-06-08,Shakespeare's Sonnets,21.71
2026-06-07,Shakespeare's Sonnets,20.91
2026-06-06,Shakespeare's Sonnets,21.65
2026-06-05,Shakespeare's Sonnets,21.21
2026-06-04,Shakespeare's Sonnets,21.69
2026-06-03,Shakespeare's Sonnets,22.53
2026-06-02,Shakespeare's Sonnets,22.47
2026-06-08,Set Me Free,18.87
2026-06-07,Set Me Free,18.51
2026-06-06,Set Me Free,19.72
2026-06-05,Set Me Free,18.83
2026-06-04,Set Me Free,17.46
2026-06-03,Set Me Free,17.7
2026-06-02,Set Me Free,19.16
2026-06-08,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.09
2026-06-07,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),53.04
2026-06-06,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.97
2026-06-05,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),51.64
2026-06-04,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),50.63
2026-06-03,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),51.57
2026-06-02,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),50.5
2026-06-08,Rip it Up and Start Again,34.62
2026-06-07,Rip it Up and Start Again,33.15
2026-06-06,Rip it Up and Start Again,32.6
2026-06-05,Rip it Up and Start Again,34.05
2026-06-04,Rip it Up and Start Again,33.68
2026-06-03,Rip it Up and Start Again,32.8
2026-06-02,Rip it Up and Start Again,31.85
2026-06-08,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.49
2026-06-07,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.71
2026-06-06,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",56.21
2026-06-05,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",55.24
2026-06-04,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",56.08
2026-06-03,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",56.57
